erl_module,filepath,n_lines,description,complexity,depends_on
emqx_stats,emqx-src/apps/emqx/src/emqx_stats.erl,365,"Module for emqx stats",M,"emqx_channels_count;emqx_channels_max;emqx_cluster_sessions_count;emqx_cluster_sessions_max;emqx_connections_count;emqx_connections_max;emqx_delayed_count;emqx_delayed_max;emqx_durable_subscriptions_count;emqx_durable_subscriptions_max;emqx_live_connections_count;emqx_live_connections_max;emqx_retained_count;emqx_retained_max;emqx_sessions_count;emqx_sessions_max;emqx_stats_setstat;emqx_suboptions_count;emqx_suboptions_max;emqx_subscribers_count;emqx_subscribers_max;emqx_subscriptions_count;emqx_subscriptions_max;emqx_subscriptions_shared_count;emqx_subscriptions_shared_max;emqx_topics_count;emqx_topics_max;emqx_utils;emqx_utils_ets"
emqx_cm_registry,emqx-src/apps/emqx/src/emqx_cm_registry.erl,315,"Module for emqx cm registry",M,"emqx_cm;emqx_types"
emqx_quic_data_stream,emqx-src/apps/emqx/src/emqx_quic_data_stream.erl,469,"Module for emqx quic data stream",M,"emqx_channel;emqx_connection;emqx_frame;emqx_metrics;emqx_mqtt;emqx_packet;emqx_pd;emqx_quic_connection"
emqx_quic_stream,emqx-src/apps/emqx/src/emqx_quic_stream.erl,286,"Module for emqx quic stream",M,"emqx_connection;emqx_mqtt;emqx_quic"
emqx_session_mem,emqx-src/apps/emqx/src/emqx_session_mem.erl,947,"Module for emqx session mem",H,"emqx_broker;emqx_channel;emqx_cm;emqx_config;emqx_guid;emqx_hooks;emqx_inflight;emqx_maybe;emqx_message;emqx_metrics;emqx_mqtt;emqx_mqueue;emqx_session;emqx_session_events;emqx_shared_sub;emqx_types;emqx_utils"
emqx_config_handler,emqx-src/apps/emqx/src/emqx_config_handler.erl,881,"Module for emqx config handler",H,"emqx_app;emqx_config;emqx_config_handler_callback;emqx_schema;emqx_utils;emqx_utils_maps"
emqx_external_trace,emqx-src/apps/emqx/src/emqx_external_trace.erl,413,"Module for emqx external trace",M,"emqx_channel;emqx_mqtt;emqx_packet;emqx_rule_actions;emqx_topic;emqx_types;emqx_utils;emqx_utils_calendar;emqx_utils_json"
emqx_logger,emqx-src/apps/emqx/src/emqx_logger.erl,342,"Module for emqx logger",M,"emqx_types"
emqx_alarm_handler,emqx-src/apps/emqx/src/emqx_alarm_handler.erl,86,"Module for emqx alarm handler",L,"emqx_alarm;emqx_os_mon"
emqx_ssl_crl_cache,emqx-src/apps/emqx/src/emqx_ssl_crl_cache.erl,269,"Module for emqx ssl crl cache",M,"emqx_crl_cache;emqx_ssl_crl_cache_inserted"
